player,market,line,side,best_price,book,model_p,fair_p,edge,ev_per_unit,p_push,is_whole_line,n_books,kelly_full,kelly_frac,bet_flag
Michaela Onyenwere,player_rebounds,2.5,over,-147,draftkings,0.6342,0.5622,0.072,0.0656,0.0,0,2,0.0965,0.0241,1
Shakira Austin,player_points,19.5,over,-103,draftkings,0.5533,0.4819,0.0714,0.0905,0.0,0,3,0.0932,0.0233,1
Allisha Gray,player_rebounds,2.5,over,-169,betonlineag,0.6785,0.6073,0.0712,0.08,0.0,0,2,0.1352,0.0338,1
Chelsea Gray,player_rebounds,2.5,over,-147,betonlineag,0.6367,0.5659,0.0708,0.0698,0.0,0,3,0.1026,0.0257,1
Jordan Horston,player_points,6.5,over,-112,betonlineag,0.5688,0.5,0.0688,0.0767,0.0,0,3,0.0859,0.0215,1
Olivia Nelson-Ododa,player_rebounds,6.5,under,101,draftkings,0.5485,0.4843,0.0642,0.1025,0.0,0,3,0.1015,0.0254,1
Jordin Canada,player_assists,8.5,over,114,fanduel,0.5008,0.438,0.0628,0.0717,0.0,0,3,0.0629,0.0157,1
Napheesa Collier,player_assists,2.5,over,-148,draftkings,0.6337,0.5725,0.0612,0.0619,0.0,0,3,0.0916,0.0229,1
A'ja Wilson,player_assists,3.5,over,122,betonlineag,0.4749,0.4167,0.0582,0.0543,0.0,0,3,0.0445,0.0111,1
Azura Stevens,player_rebounds,6.5,over,-114,fanduel,0.572,0.5141,0.0579,0.0738,0.0,0,2,0.0841,0.021,1
Kiki Iriafen,player_rebounds,8.5,over,-139,betonlineag,0.6169,0.5594,0.0575,0.0607,0.0,0,3,0.0844,0.0211,1
Diamond Miller,player_points,10.5,under,-130,fanduel,0.5928,0.5357,0.0571,0.0488,0.0,0,3,0.0634,0.0159,1
Aliyah Boston,player_points,16.5,over,-115,fanduel,0.5584,0.5023,0.0561,0.044,0.0,0,3,0.0506,0.0126,1
Angel Reese,player_assists,2.5,over,104,fanduel,0.5304,0.4752,0.0552,0.082,0.0,0,3,0.0789,0.0197,1
Natasha Howard,player_assists,3.5,under,-143,betonlineag,0.6179,0.5647,0.0532,0.05,0.0,0,3,0.0715,0.0179,1
Dominique Malonga,player_assists,1.5,over,-166,fanduel,0.6452,0.592,0.0532,0.0339,0.0,0,1,0.0562,0.0141,1
Nneka Ogwumike,player_assists,3.5,over,134,fanduel,0.4525,0.4002,0.0523,0.0588,0.0,0,3,0.0439,0.011,1
Dearica Hamby,player_points,13.5,over,-130,draftkings,0.5832,0.5312,0.052,0.0318,0.0,0,1,0.0414,0.0103,1
Courtney Williams,player_rebounds,4.5,over,-120,draftkings,0.5652,0.5135,0.0517,0.0362,0.0,0,3,0.0434,0.0109,1
Natasha Howard,player_rebounds,6.5,over,-108,fanduel,0.5356,0.4843,0.0513,0.0315,0.0,0,3,0.034,0.0085,1
Dominique Malonga,player_points,19.5,over,-118,fanduel,0.5598,0.509,0.0508,0.0342,0.0,0,2,0.0404,0.0101,1
Rae Burrell,player_points,15.5,over,-103,betonlineag,0.5476,0.4978,0.0498,0.0793,0.0,0,3,0.0816,0.0204,1
Sonia Citron,player_assists,4.5,over,121,draftkings,0.4607,0.4116,0.0491,0.0181,0.0,0,1,0.015,0.0037,1
Dearica Hamby,player_rebounds,6.5,over,-120,betonlineag,0.5644,0.5157,0.0487,0.0347,0.0,0,3,0.0417,0.0104,1
Olivia Nelson-Ododa,player_points,10.5,under,-120,fanduel,0.5616,0.5145,0.0471,0.0296,0.0,0,3,0.0355,0.0089,1
Charlisse Leger-Walker,player_points,6.5,over,-113,draftkings,0.5457,0.5,0.0457,0.0286,0.0,0,3,0.0323,0.0081,1
Charlisse Leger-Walker,player_assists,3.5,over,109,draftkings,0.4947,0.4493,0.0454,0.0339,0.0,0,3,0.0311,0.0078,1
Georgia Amoore,player_points,5.5,over,104,betonlineag,0.5022,0.4577,0.0445,0.0245,0.0,0,2,0.0235,0.0059,1
Natasha Howard,player_points,12.5,over,110,betonlineag,0.5148,0.471,0.0438,0.0811,0.0,0,3,0.0737,0.0184,1
Kelsey Mitchell,player_points,25.5,over,-115,fanduel,0.547,0.5034,0.0436,0.0227,0.0,0,3,0.026,0.0065,1
Aliyah Boston,player_assists,3.5,over,136,fanduel,0.4393,0.3961,0.0432,0.0367,0.0,0,3,0.027,0.0068,1
Chelsea Gray,player_points,11.5,over,-129,draftkings,0.5707,0.529,0.0417,0.0131,0.0,0,1,0.0169,0.0042,1
Dominique Malonga,player_points,20.5,over,-104,draftkings,0.5138,0.4733,0.0405,0.0078,0.0,0,1,0.0082,0.002,1
Jackie Young,player_rebounds,4.5,over,-105,betonlineag,0.5314,0.4922,0.0392,0.0375,0.0,0,3,0.0394,0.0098,1
Brittney Griner,player_rebounds,6.5,over,116,fanduel,0.4711,0.4322,0.0389,0.0176,0.0,0,2,0.0152,0.0038,1
Azura Stevens,player_points,11.5,over,-123,draftkings,0.5578,0.5203,0.0375,0.0113,0.0,0,3,0.0139,0.0035,1
Brittney Griner,player_rebounds,5.5,over,-143,betonlineag,0.5946,0.558,0.0366,0.0104,0.0,0,1,0.0149,0.0037,1
Chelsea Gray,player_points,12.5,over,100,fanduel,0.5064,0.4707,0.0357,0.0128,0.0,0,2,0.0128,0.0032,1
Jade Melbourne,player_assists,4.5,over,-139,draftkings,0.5991,0.5649,0.0342,0.0301,0.0,0,3,0.0418,0.0105,1
Caitlin Clark,player_assists,9.5,over,-110,betonlineag,0.5272,0.4933,0.0339,0.0065,0.0,0,3,0.0071,0.0018,1
NaLyssa Smith,player_rebounds,6.5,over,116,fanduel,0.4738,0.4435,0.0303,0.0234,0.0,0,3,0.0202,0.005,1
Dearica Hamby,player_assists,2.5,over,113,betonlineag,0.4655,0.4354,0.0301,-0.0085,0.0,0,2,0.0,0.0,0
Azura Stevens,player_rebounds,7.5,over,114,draftkings,0.4534,0.4261,0.0273,-0.0297,0.0,0,1,0.0,0.0,0
Sonia Citron,player_assists,3.5,over,-164,betonlineag,0.6231,0.5963,0.0268,0.003,0.0,0,2,0.005,0.0012,0
Kamilla Cardoso,player_assists,2.5,under,-106,betonlineag,0.5235,0.4989,0.0246,0.0174,0.0,0,3,0.0184,0.0046,0
Ariel Atkins,player_assists,2.5,over,-146,fanduel,0.5904,0.5659,0.0245,-0.0052,0.0,0,3,0.0,0.0,0
Sonia Citron,player_points,17.5,over,-105,betonlineag,0.5041,0.4797,0.0244,-0.0158,0.0,0,3,0.0,0.0,0
Aliyah Boston,player_rebounds,8.5,over,-123,betonlineag,0.564,0.5421,0.0219,0.0225,0.0,0,3,0.0277,0.0069,0
Leila Lacan,player_assists,4.5,under,-136,fanduel,0.5718,0.5509,0.0209,-0.0078,0.0,0,3,0.0,0.0,0
Georgia Amoore,player_assists,3.5,over,128,betonlineag,0.4299,0.4107,0.0192,-0.0198,0.0,0,2,0.0,0.0,0
Jonquel Jones,player_points,14.5,over,-118,draftkings,0.5291,0.5113,0.0178,-0.0225,0.0,0,3,0.0,0.0,0
Erica Wheeler,player_assists,5.5,under,-114,fanduel,0.5262,0.5113,0.0149,-0.0122,0.0,0,3,0.0,0.0,0
Breanna Stewart,player_assists,3.5,over,-119,betonlineag,0.53,0.5166,0.0134,-0.0246,0.0,0,3,0.0,0.0,0
Olivia Miles,player_assists,7.5,over,116,fanduel,0.4461,0.4351,0.011,-0.0364,0.0,0,3,0.0,0.0,0
Leila Lacan,player_points,11.5,over,104,fanduel,0.4751,0.4643,0.0108,-0.0308,0.0,0,3,0.0,0.0,0
NaLyssa Smith,player_points,11.5,over,-102,betonlineag,0.4992,0.491,0.0082,-0.0114,0.0,0,3,0.0,0.0,0
Jonquel Jones,player_assists,2.5,over,-172,betonlineag,0.6131,0.6051,0.008,-0.0304,0.0,0,3,0.0,0.0,0
Michaela Onyenwere,player_points,7.5,over,-113,fanduel,0.5252,0.5181,0.0071,-0.01,0.0,0,3,0.0,0.0,0
Ariel Atkins,player_rebounds,2.5,over,-153,draftkings,0.5915,0.5869,0.0046,-0.0219,0.0,0,3,0.0,0.0,0
Charlisse Leger-Walker,player_rebounds,2.5,over,149,betonlineag,0.369,0.3655,0.0035,-0.0812,0.0,0,1,0.0,0.0,0
Shakira Austin,player_assists,2.5,under,116,draftkings,0.436,0.4341,0.0019,-0.0582,0.0,0,3,0.0,0.0,0
Kamilla Cardoso,player_rebounds,8.5,over,-123,betonlineag,0.5435,0.5421,0.0014,-0.0146,0.0,0,3,0.0,0.0,0
Kamilla Cardoso,player_rebounds,8.5,under,104,draftkings,0.4565,0.4579,-0.0014,-0.0687,0.0,0,3,0.0,0.0,0
Shakira Austin,player_assists,2.5,over,-130,fanduel,0.564,0.5659,-0.0019,-0.0022,0.0,0,3,0.0,0.0,0
Charlisse Leger-Walker,player_rebounds,2.5,under,-196,betonlineag,0.631,0.6345,-0.0035,-0.0471,0.0,0,1,0.0,0.0,0
Ariel Atkins,player_rebounds,2.5,under,128,betonlineag,0.4085,0.4131,-0.0046,-0.0686,0.0,0,3,0.0,0.0,0
Michaela Onyenwere,player_points,7.5,under,-105,draftkings,0.4748,0.4819,-0.0071,-0.073,0.0,0,3,0.0,0.0,0
Jonquel Jones,player_assists,2.5,under,134,fanduel,0.3869,0.3949,-0.008,-0.0947,0.0,0,3,0.0,0.0,0
NaLyssa Smith,player_points,11.5,under,-118,fanduel,0.5008,0.509,-0.0082,-0.0748,0.0,0,3,0.0,0.0,0
Leila Lacan,player_points,11.5,under,-128,draftkings,0.5249,0.5357,-0.0108,-0.065,0.0,0,3,0.0,0.0,0
Olivia Miles,player_assists,7.5,under,-147,betonlineag,0.5539,0.5649,-0.011,-0.0693,0.0,0,3,0.0,0.0,0
Breanna Stewart,player_assists,3.5,under,-106,fanduel,0.47,0.4834,-0.0134,-0.0866,0.0,0,3,0.0,0.0,0
Erica Wheeler,player_assists,5.5,over,-105,draftkings,0.4738,0.4887,-0.0149,-0.075,0.0,0,3,0.0,0.0,0
Jonquel Jones,player_points,14.5,under,-104,fanduel,0.4709,0.4887,-0.0178,-0.0763,0.0,0,3,0.0,0.0,0
Georgia Amoore,player_assists,3.5,under,-161,draftkings,0.5701,0.5893,-0.0192,-0.0758,0.0,0,2,0.0,0.0,0
Leila Lacan,player_assists,4.5,over,107,draftkings,0.4282,0.4491,-0.0209,-0.1136,0.0,0,3,0.0,0.0,0
Aliyah Boston,player_rebounds,8.5,under,102,fanduel,0.436,0.4579,-0.0219,-0.1193,0.0,0,3,0.0,0.0,0
Sonia Citron,player_points,17.5,under,-122,fanduel,0.4959,0.5203,-0.0244,-0.0976,0.0,0,3,0.0,0.0,0
Ariel Atkins,player_assists,2.5,under,114,betonlineag,0.4096,0.4341,-0.0245,-0.1235,0.0,0,3,0.0,0.0,0
Kamilla Cardoso,player_assists,2.5,over,-102,fanduel,0.4765,0.5011,-0.0246,-0.0563,0.0,0,3,0.0,0.0,0
Sonia Citron,player_assists,3.5,under,128,fanduel,0.3769,0.4037,-0.0268,-0.1407,0.0,0,2,0.0,0.0,0
Azura Stevens,player_rebounds,7.5,under,-156,draftkings,0.5466,0.5739,-0.0273,-0.103,0.0,0,1,0.0,0.0,0
Dearica Hamby,player_assists,2.5,under,-147,betonlineag,0.5345,0.5646,-0.0301,-0.1019,0.0,0,2,0.0,0.0,0
NaLyssa Smith,player_rebounds,6.5,under,-130,betonlineag,0.5262,0.5565,-0.0303,-0.069,0.0,0,3,0.0,0.0,0
Caitlin Clark,player_assists,9.5,under,-104,draftkings,0.4728,0.5067,-0.0339,-0.0726,0.0,0,3,0.0,0.0,0
Jade Melbourne,player_assists,4.5,under,124,fanduel,0.4009,0.4351,-0.0342,-0.102,0.0,0,3,0.0,0.0,0
Chelsea Gray,player_points,12.5,under,-125,betonlineag,0.4936,0.5293,-0.0357,-0.1115,0.0,0,2,0.0,0.0,0
Brittney Griner,player_rebounds,5.5,under,110,betonlineag,0.4054,0.442,-0.0366,-0.1487,0.0,0,1,0.0,0.0,0
Azura Stevens,player_points,11.5,under,100,fanduel,0.4422,0.4797,-0.0375,-0.1156,0.0,0,3,0.0,0.0,0
Brittney Griner,player_rebounds,6.5,under,-148,draftkings,0.5289,0.5678,-0.0389,-0.1137,0.0,0,2,0.0,0.0,0
Jackie Young,player_rebounds,4.5,under,-110,fanduel,0.4686,0.5078,-0.0392,-0.1054,0.0,0,3,0.0,0.0,0
